iter	Logloss
0	0.6402597612
1	0.6040002634
2	0.5671413654
3	0.5431626111
4	0.5287237359
5	0.5159496044
6	0.5015008542
7	0.490837644
8	0.4819018331
9	0.4748415345
10	0.4679585624
11	0.4626460709
12	0.4582904365
13	0.4530780946
14	0.4497825399
15	0.4463552727
16	0.4435968949
17	0.4394756511
18	0.4368412583
19	0.4338850491
20	0.4307588937
21	0.4279911871
22	0.42673539
23	0.4254958094
24	0.424543699
25	0.4184510169
26	0.4159687807
27	0.4144720224
28	0.4129444504
29	0.41139092
30	0.4104165344
31	0.4094952765
32	0.4084743103
33	0.4070109639
34	0.40619978
35	0.4051691885
36	0.4027881793
37	0.4019208339
38	0.4008934242
39	0.4002054681
40	0.3997041983
41	0.3983387372
42	0.3972800809
43	0.3968602118
44	0.3962397149
45	0.3956928255
46	0.3953132685
47	0.3945943933
48	0.3939245308
49	0.3933506596
50	0.3927695943
51	0.3922197671
52	0.3914505082
53	0.390761375
54	0.390136272
55	0.3897134086
56	0.3887985797
57	0.3881434166
58	0.38704856
59	0.3864364774
60	0.3843521228
61	0.3819613702
62	0.3813074232
63	0.3804166095
64	0.3795892156
65	0.378750455
66	0.3778585485
67	0.3772468063
68	0.375984006
69	0.3754872053
70	0.3749809389
71	0.3742162085
72	0.3734960975
73	0.3729680565
74	0.3722003833
75	0.3713233651
76	0.3707301016
77	0.3694777659
78	0.3689727482
79	0.3683535659
80	0.3679780322
81	0.3675013854
82	0.3667791395
83	0.3663709486
84	0.3658282827
85	0.3649315758
86	0.3645200829
87	0.3630247535
88	0.3626562987
89	0.3621800241
90	0.3616233754
91	0.361228227
92	0.3607121472
93	0.360279557
94	0.3596188446
95	0.3591022739
96	0.3584839278
97	0.3579831616
98	0.3576280236
99	0.3571826226
100	0.3567670085
101	0.3552658497
102	0.3549247403
103	0.3545369401
104	0.3540166976
105	0.3536134093
106	0.3532675581
107	0.3527659602
108	0.3524258473
109	0.3519920506
110	0.3514975417
111	0.3511822918
112	0.3507780698
113	0.3501669823
114	0.3498537262
115	0.3493708628
116	0.3491465503
117	0.3486737957
118	0.3482190932
119	0.3478120149
120	0.3473707105
121	0.3469250181
122	0.3466438376
123	0.3459892328
124	0.3455845753
125	0.3453223912
126	0.3449482423
127	0.3447278376
128	0.3443017197
129	0.3438528205
130	0.3434237477
131	0.3430537053
132	0.342694972
133	0.342254522
134	0.3419611907
135	0.3413292273
136	0.340987417
137	0.3407224076
138	0.3405208191
139	0.3400302986
140	0.3395672821
141	0.3394215188
142	0.3390218319
143	0.3386934555
144	0.3383721552
145	0.3380918771
146	0.3378914887
147	0.3370830133
148	0.336802705
149	0.336372107
