iter	Passed	Remaining
0	3	485
1	6	486
2	9	489
3	13	483
4	16	486
5	20	490
6	23	483
7	27	482
8	30	480
9	34	477
10	37	477
11	41	475
12	55	589
13	60	589
14	64	584
15	68	576
16	72	567
17	76	563
18	80	555
19	84	547
20	87	540
21	91	532
22	95	524
23	98	519
24	103	515
25	107	512
26	111	506
27	115	502
28	118	496
29	122	490
30	126	484
31	129	478
32	133	472
33	136	466
34	140	461
35	144	456
36	147	450
37	151	445
38	154	439
39	157	434
40	161	428
41	164	423
42	168	418
43	171	413
44	174	407
45	178	402
46	181	398
47	185	393
48	188	388
49	191	383
50	198	385
51	202	380
52	205	376
53	208	371
54	212	366
55	215	361
56	218	357
57	222	352
58	225	348
59	229	343
60	232	339
61	235	334
62	239	330
63	242	325
64	245	321
65	249	317
66	252	312
67	255	308
68	259	304
69	262	300
70	266	296
71	269	291
72	273	287
73	276	283
74	279	279
75	282	275
76	286	271
77	289	267
78	293	263
79	296	259
80	300	255
81	304	252
82	307	248
83	311	244
84	314	240
85	319	237
86	323	233
87	326	230
88	330	226
89	333	222
90	337	218
91	340	214
92	343	210
93	347	206
94	350	203
95	354	199
96	357	195
97	361	191
98	364	187
99	368	184
100	371	180
101	374	176
102	378	172
103	381	168
104	384	164
105	388	161
106	391	157
107	395	153
108	399	150
109	402	146
110	405	142
111	409	138
112	412	135
113	416	131
114	419	127
115	422	123
116	426	120
117	429	116
118	433	112
119	436	109
120	440	105
121	443	101
122	447	98
123	450	94
124	454	90
125	457	87
126	461	83
127	464	79
128	467	76
129	471	72
130	474	68
131	478	65
132	481	61
133	485	57
134	488	54
135	492	50
136	495	47
137	498	43
138	502	39
139	505	36
140	509	32
141	512	28
142	516	25
143	521	21
144	526	18
145	530	14
146	534	10
147	538	7
148	542	3
149	545	0
